,Revenue,Cost of Goods Sold,SG&A,EBIT,Net Income,Cash and Cash Equivalents,Recievables,Inventories,Other Current Assets,PP&E,Other Assets,Debt in Current Liabilities,Accounts Payable,Taxes Payable,Other Current Liabilities,Total Liabilities,timestemp,EBIT/EV,gvkey
0,0.02465466409921646,0.008860552683472633,0.10117276012897491,0.4366321861743927,0.5560175180435181,0.21889761090278625,0.03909766301512718,0.07424230873584747,0.08716456592082977,0.05436839908361435,0.09028369933366776,0.11276298761367798,0.049409154802560806,0.08230053633451462,0.24888192117214203,0.05389004945755005,1990-03-31,0.02891874430399562,1209
1,0.025260617956519127,0.00909330416470766,0.10288513451814651,0.43600714206695557,0.5540828704833984,0.21880723536014557,0.039938732981681824,0.07546031475067139,0.08813532441854477,0.055377062410116196,0.0913214460015297,0.11450177431106567,0.05061299353837967,0.08292710781097412,0.24837252497673035,0.05517997965216637,1990-06-30,0.025749325160102376,1209
2,0.028169602155685425,0.010352740995585918,0.11271383613348007,0.44145098328590393,0.5472416281700134,0.2182825207710266,0.04399806633591652,0.08482181280851364,0.09503046423196793,0.06125028803944588,0.09619748592376709,0.12348420172929764,0.05517258122563362,0.08846490830183029,0.24685922265052795,0.062175970524549484,1990-09-30,0.03267826055744001,1209
3,0.028863875195384026,0.010578391142189503,0.11459287256002426,0.43877291679382324,0.5460254549980164,0.21893782913684845,0.0447683222591877,0.085959292948246,0.09619928896427155,0.06223694235086441,0.09709721058607101,0.12482491880655289,0.056246962398290634,0.08902577310800552,0.24647462368011475,0.06319360435009003,1990-12-31,0.02721428540643181,1209
4,0.028920840471982956,0.010629694908857346,0.1149829775094986,0.4402816593647003,0.5459334254264832,0.2187315821647644,0.04489797353744507,0.08660653233528137,0.09656746685504913,0.06250613182783127,0.09724410623311996,0.12522605061531067,0.05626799911260605,0.08944810181856155,0.24650542438030243,0.0635344609618187,1991-03-31,0.02485542697343,1209
5,0.02745538391172886,0.009945331141352654,0.109584279358387,0.4348786771297455,0.5487876534461975,0.21915176510810852,0.04282422736287117,0.08083199709653854,0.09248794615268707,0.05923539772629738,0.09481082111597061,0.12045446783304214,0.054296575486660004,0.08594861626625061,0.2470344752073288,0.05970825254917145,1991-06-30,0.024122186128323404,1209
6,0.03735797479748726,0.01482041459530592,0.1465585082769394,0.4707198441028595,0.5355022549629211,0.21793904900550842,0.05633439123630524,0.12457601726055145,0.12201422452926636,0.08219289779663086,0.1096784844994545,0.15082363784313202,0.06510090082883835,0.11116113513708115,0.24519209563732147,0.08583293855190277,1991-09-30,0.021611380328022442,1209
7,0.0544726587831974,0.025752786546945572,0.2070959508419037,0.5442335605621338,0.5290865898132324,0.21410639584064484,0.08028177171945572,0.22560860216617584,0.17972180247306824,0.12878085672855377,0.13141416013240814,0.20048043131828308,0.07614433020353317,0.1625911444425583,0.24919767677783966,0.13922536373138428,1991-12-31,0.022383734486273302,1209
8,0.05944247916340828,0.029170114547014236,0.22069257497787476,0.5570024251937866,0.5288680195808411,0.21366609632968903,0.08700080215930939,0.2516326904296875,0.19430142641067505,0.14161953330039978,0.13671573996543884,0.21222732961177826,0.07902999967336655,0.17488734424114227,0.25097453594207764,0.15390214323997498,1992-03-31,0.02175746106768935,1209
9,0.0723041445016861,0.0386580228805542,0.2479097694158554,0.5816079378128052,0.5312020778656006,0.21281972527503967,0.10432232171297073,0.31053900718688965,0.2280593365430832,0.1737343966960907,0.1490580141544342,0.23852984607219696,0.08579186350107193,0.2022588849067688,0.2571309208869934,0.1905190646648407,1992-06-30,0.02116464176644551,1209
10,0.07709497958421707,0.0434255376458168,0.2543734312057495,0.598106861114502,0.535678505897522,0.2108878642320633,0.11194248497486115,0.3362356722354889,0.24197931587696075,0.18847431242465973,0.1537715196609497,0.24867400527000427,0.08684670925140381,0.2147749811410904,0.26250606775283813,0.2076558768749237,1992-09-30,0.020614886994739654,1209
11,0.09642735868692398,0.06136409938335419,0.2667141556739807,0.6203069686889648,0.5500744581222534,0.20870251953601837,0.1395154446363449,0.395134299993515,0.2800713777542114,0.23496632277965546,0.16910578310489655,0.27630025148391724,0.09399697929620743,0.24300149083137512,0.280008465051651,0.26016169786453247,1992-12-31,0.019450038381618552,1209
12,0.1145646870136261,0.08003748953342438,0.2643291652202606,0.628765881061554,0.566584587097168,0.20719914138317108,0.16543373465538025,0.4266408085823059,0.30555641651153564,0.27369335293769836,0.18123844265937805,0.29397666454315186,0.09983185678720474,0.25869277119636536,0.2990482449531555,0.30292603373527527,1993-03-31,0.02265616983051704,1209
13,0.1289634108543396,0.09680291265249252,0.25624585151672363,0.634243905544281,0.5813518166542053,0.20515479147434235,0.18675656616687775,0.44334590435028076,0.3213008940219879,0.30336618423461914,0.19018550217151642,0.3046574294567108,0.103600412607193,0.2675924301147461,0.31686896085739136,0.335399329662323,1993-06-30,0.023282727079063103,1209
14,0.12807631492614746,0.09353001415729523,0.2613441050052643,0.6254987716674805,0.5761030912399292,0.20762862265110016,0.18332716822624207,0.4387723505496979,0.319313645362854,0.2973775267601013,0.1889873445034027,0.3037375211715698,0.10508137196302414,0.26440566778182983,0.3102419376373291,0.3283669948577881,1993-09-30,-0.001269318008311273,1209
15,0.13695910573005676,0.10543254762887955,0.2530323266983032,0.6322384476661682,0.5874420404434204,0.20521223545074463,0.19752894341945648,0.44846197962760925,0.32829710841178894,0.31691938638687134,0.19451084733009338,0.3094857335090637,0.10635808855295181,0.27009883522987366,0.3242054879665375,0.3498121201992035,1993-12-31,0.02305404837404558,1209
16,0.13756923377513885,0.10692739486694336,0.2511118948459625,0.6352190971374512,0.5898082256317139,0.2043779045343399,0.19916190207004547,0.44995778799057007,0.32920747995376587,0.31931695342063904,0.19500625133514404,0.30973270535469055,0.10578051209449768,0.2712547779083252,0.3271898031234741,0.352500319480896,1994-03-31,0.005093568942060089,1209
17,0.16653381288051605,0.14423151314258575,0.23124371469020844,0.639449954032898,0.6158405542373657,0.19933970272541046,0.24173057079315186,0.4655676782131195,0.3489386737346649,0.3716610074043274,0.21122586727142334,0.32358959317207336,0.11299155652523041,0.280367374420166,0.3644545376300812,0.40876129269599915,1994-06-30,0.01809123030542394,1209
